,Unnamed: 0,sig_offset,dNu1 (GHz),dNu2 (GHz),B_U (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
1820,1820,0.0003539658950498666,0.004462665165199532,0.0042997348488316755,0.02589136590476196,0.02398991404332479,0.0005992650835982048,0.00817480335168537,0.02308850375484601,0.05602468299389683,0.009309424519723296,0.007457187756925949,0.010427906639166384,0.0044763487252065855,0.005442045721776457,0.008016106336487352,0.014012547627183305,0.009677748451462628,0.010031454403179155,0.052595472332946834,0.00628194657140746,0.0059496053089506395
1880,1880,0.0003539659566790977,0.004462169344079259,0.0042996051412439885,0.02588965686807215,0.02398772636143191,0.0005992258878873474,0.008175092866438942,0.02308613748878201,0.056011647369303766,0.009309252189329029,0.007457032691142102,0.010427275290810056,0.004476339905408783,0.0054417850088786,0.00801609571806368,0.014010891468149498,0.009677288783279636,0.010030221939841351,0.05258349608854029,0.0062817094344722905,0.005949379572389885
1929,1929,0.0003539662025425621,0.00446134605169551,0.004299404809891462,0.025886896045446847,0.023984215474341732,0.0005991599391870117,0.008175487421823665,0.023082471522569627,0.055996819069146435,0.009309256811109131,0.007457002387640347,0.01042635652505254,0.00447640781263036,0.005441438137157943,0.008016185230319555,0.0140082208078543,0.009676779282311523,0.010028418492019794,0.05256991591914865,0.0062812910957342795,0.005949040855521703
1940,1940,0.00035396602840847115,0.00446119328542365,0.004299359092288101,0.02588656172858381,0.02398351436128647,0.0005991607405239913,0.0081759808971556,0.023081144466443014,0.05596855313780335,0.009308178146978563,0.007456190429499494,0.010425788238516169,0.004476174627960759,0.005441129596980912,0.008015921942202301,0.014007453431086723,0.009675767527426429,0.010027290766119898,0.05254379157890793,0.006281460343117669,0.0059488964036322105
1973,1973,0.00041533725719471404,0.0022181779984487733,0.0058502375539642715,0.024276753514960257,0.018386901892384868,0.0006179231962327655,0.0031293230146744078,0.007093189543604868,0.047824640926966734,0.04512134070628337,0.037578495335421264,0.02366203180235346,0.0165064707055232,0.008777539818418166,0.03585287004606905,0.0056392042541819854,0.04884421175436179,0.011412225317365856,0.05320313242106033,0.011241846458323969,0.002249417858659544
1980,1980,0.0003539657146637662,0.0044626379921961,0.004299730435265345,0.025891003808557942,0.02398952675825753,0.000599256592496945,0.008174689152564285,0.02308808046675173,0.05602796788014905,0.009309561448884014,0.007457288640152544,0.010427933268614832,0.004476385054713758,0.0054420305584174135,0.008016134411044156,0.014012530811153084,0.009677836546294971,0.010031267387642404,0.05259827821629958,0.006281840122405428,0.005949599929811301
2062,2062,0.0003539657851311047,0.004463208101138036,0.004299862375981637,0.02589317804958681,0.02399227904187757,0.0005993071286263702,0.00817449922971423,0.023091120927289797,0.056038557400963085,0.009309608772429423,0.007457348987713378,0.010428577226241964,0.004476342160857858,0.005442321582562589,0.008016088164937712,0.01401433731983665,0.009678243597072466,0.010032837409458331,0.0526083101613469,0.0062821869832040715,0.005949843489831581
2090,2090,0.0003539659921056496,0.004460885780752139,0.004299240407452201,0.025885064919738836,0.023981949317141482,0.0005991232599783697,0.008175846667777577,0.02307991241034846,0.055974842474685656,0.009308729817086456,0.007456574975015267,0.01042557461592038,0.004476293610160249,0.005441081313672553,0.008016004511394522,0.014006595788221138,0.009676020284057913,0.01002694487250378,0.05254971402781163,0.006281063785689807,0.005948788170028633
2255,2255,0.0003539660178390242,0.0044621249558643794,0.004299577865041901,0.025889488145646424,0.023987615195978737,0.0005992200937148764,0.008175084058546141,0.023086287732279172,0.05601633527493313,0.009309496676427626,0.007457211531506951,0.010427298357811532,0.004476374626772371,0.005441821462907418,0.008016131808079708,0.014010754757823252,0.009677468713915328,0.010030454600297231,0.05258807475732745,0.006281628114164727,0.005949372523749305
2304,2304,0.0003539659548489992,0.004461796150443736,0.004299515487175478,0.02588855757033934,0.02398613008165621,0.0005992050510569412,0.008175539547061189,0.023084077771009404,0.05598858250409231,0.009308568559839627,0.007456509434699167,0.010426615879122204,0.004476221680524636,0.005441479502612289,0.008015968226400641,0.014009514543284632,0.00967647674012163,0.010028899950121007,0.05256221438914605,0.006281691037318018,0.0059491783947280994
2367,2367,0.0003539658815269189,0.004462898765488615,0.00429979552247065,0.025892171964599114,0.023990956682206358,0.0005992832012383862,0.00817465677272193,0.02308966945046492,0.05603185295280905,0.009309551398317358,0.007457293238591447,0.010428220625615004,0.004476360432499224,0.0054421791788813465,0.008016120891969626,0.014013332002399641,0.009678003423199204,0.010032085939072758,0.05260209559436229,0.006282050552087111,0.0059497136569276075
2373,2373,0.00035396581152557686,0.004461112660238965,0.0042992807646896935,0.0258857356549689,0.023982814770137185,0.0005991410659305003,0.008175799120621264,0.02308074233681249,0.05597584167946747,0.00930857155714706,0.007456466054047177,0.010425753523195993,0.004476226475432415,0.005441124556487832,0.008015924339972738,0.014007274092660829,0.009676028758329241,0.010027294851912132,0.0525505677184342,0.00628117880742294,0.005948859740068506
2386,2386,0.0003539662587768204,0.004460901957328439,0.00429928767720974,0.025885390429771674,0.02398227520688316,0.0005991253036640009,0.008175767313809552,0.02308037390745524,0.05598468870397005,0.009309071853830031,0.007456838653422657,0.010425779279433837,0.0044763864984485756,0.005441196180268722,0.008016164485265417,0.014006720729731057,0.00967634410486345,0.010027325727423651,0.05255880474089849,0.006281086990294546,0.005948833473432918
3033,3033,0.00035396595230370625,0.004462266788828462,0.004299629900754198,0.02588999653789911,0.02398816787721442,0.0005992335115566983,0.008175032961989964,0.023086634478178627,0.05601471842818597,0.009309307224738932,0.007457079571250325,0.010427407536876042,0.00447634546199535,0.0054418416126258175,0.008016102772127939,0.014011219108941635,0.009677397390912043,0.010030491645768785,0.05258633522254861,0.006281752858697797,0.0059494256623219026
3062,3062,0.00035531353422697787,0.007727111267519528,0.0045288163121997545,0.03356295215170997,0.03588110008562175,0.0007899889050918008,0.007188370952019327,0.04158147496215967,1.3115867677032005,0.012243956377379723,0.009339933098198631,0.013967992405364123,0.0043693747167379395,0.007362314406365503,0.007537111235157746,0.025449142839212367,0.013888506585332607,0.02268185909663193,1.3039491759828978,0.006519529478216396,0.007271094051265652
