,fit_index,sig_offset,dNu1 (GHz),dNu2 (GHz),A_U (GHz),B_U (GHz),A_L (GHz),B_L (GHz),T (eV),b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,RMSE
341,5310.0,0.0111389402443427,1.618878466042066,0.4118264337175487,-3.278077423214258,-0.8438024907286609,-2.4282812383239722,-0.8358225340578994,0.0535856208684826,0.7261719599752755,0.0778368707883178,0.2276316843970984,0.4401205888452336,9.336434946387654e-30,0.5625012064607823,0.7048290386093595,0.5705359038550856,0.197198915740359,1.549963036722842e-16,1.3915602604818497e-15,0.0884638811719146,0.0646887544816631,0.3191252833440551,0.2949267746583316,0.0077587166012405
342,5316.0,0.0111390269839533,1.6188787650367136,0.4118261615413346,-3.2780722140721963,-0.8437919710939245,-2.4282776099366608,-0.8358113391823998,0.0535849771883125,0.7261503063340216,0.0778384729080368,0.227634381603126,0.4401207068606171,7.609603967948361e-30,0.5625035923240627,0.7048320331215298,0.5705345139640053,0.1972120080726317,8.703739758137732e-17,6.909654184468704e-19,0.0884626637556699,0.0647074264715413,0.3191285127263758,0.2949309637493164,0.0077587166002316
343,5321.0,0.0112761740232929,1.7498820043533507,0.2261049700000112,-3.0991956068161333,-0.3182961075073252,-2.3119142955767455,-0.8162838487724875,0.0551091867205307,8.693523401877735e-12,0.1902724225633271,0.1793192619803937,6.810158441326066e-11,1.220011867579193e-12,0.3844317863327635,0.5961112796606709,0.5902914941983548,0.106950166916065,0.307154338792705,0.2275369139446691,4.815062002207598e-38,0.931418470189548,0.3999318674293134,0.2996339573613081,0.0076803545403339
344,5348.0,0.0111390662777748,1.6188715339459872,0.411827110601743,-3.278056211589393,-0.8437823573428597,-2.4282658286212073,-0.8357879891835637,0.0535840559647232,0.7261184786373631,0.0777774852650007,0.2276391606442042,0.44012407968611,1.9006374735393615e-20,0.562510456670881,0.7048206802098922,0.5705326623200059,0.1972510103286521,2.9700585459018374e-14,6.0659313203673695e-15,0.0884581283585849,0.0647134790423643,0.3192070473196802,0.2949392176001269,0.0077587166179245
345,5367.0,0.0122238063487634,1.611615293052209,0.3329802424245084,-2.9263566305840674,-0.2849418133704708,-2.180541802178052,-0.4557913214535366,0.0359099646681415,0.7395346906062985,0.1705176176559537,0.2705246432618917,0.3834613582541662,0.1542192458757693,0.5918133548849721,0.7733729508000643,0.452609366305944,0.3092651388348353,9.783116673275394e-15,0.0239507243214849,0.1082892374603749,0.4497422596539609,0.3810363597787128,0.3981468006206778,0.0059396080399394
346,5369.0,0.011693314174215,1.2092281992720717,0.2952263710279938,-3.1032271687860584,-1.907634530482592,-2.2735181854692,-1.9279280455020045,0.0518633669449119,0.1837594589032993,0.3710361376337732,0.1505889375940202,0.3500218096776956,0.2567539559562515,1.757766769931874e-15,0.0097266235371508,0.6464432272297034,0.0294028420594734,0.6037555286741678,8.384349903815716e-14,5.56440656070195e-14,0.1004463766446804,0.8780825907748679,0.7582197244961597,0.0076370269727863
347,5378.0,0.011693425493228,1.209230446920802,0.2952279468373535,-3.1032385727733853,-1.9076477864175976,-2.273526378797988,-1.9279442936255424,0.0518630739944322,0.1837832925709821,0.3710402212484113,0.1505853803455653,0.3500280626098042,0.2567537633643305,2.0152474431718415e-36,0.009712286226251,0.6464445312849659,0.0293872421875529,0.6037565698635261,3.1603458666058026e-12,1.3707551783508512e-11,0.1004493587697312,0.8780866134495986,0.7582209030931328,0.0076370269771614
348,5391.0,0.0111389844203946,1.6188800887325177,0.4118261516708292,-3.278077263182511,-0.8437975739422879,-2.4282812526885946,-0.835819501655087,0.0535853400640545,0.7261635449859026,0.0778488825648012,0.2276324517728368,0.44012029151461,8.542884536332773e-26,0.5625015240302117,0.7048327678121966,0.57053549594546,0.1972002177948993,1.4239571284801246e-22,4.0186855882199076e-18,0.0884639073539086,0.0647003041256931,0.3191138554645656,0.294928333372932,0.0077587165997268
349,5408.0,0.011139053215052,1.6188805633900667,0.4118261731918117,-3.2780749658772357,-0.8437917439896816,-2.428279681799894,-0.835813048879903,0.0535847806239318,0.7261449248346495,0.0778572445872408,0.2276340766090545,0.440121284298415,1.625744163429984e-24,0.5625024908756898,0.7048352323527879,0.5705351365145623,0.1972107434928783,4.5164950419300566e-14,8.159370760067113e-20,0.0884634229351446,0.0647163780010366,0.3191098344563978,0.2949323635054954,0.0077587166015769
350,5426.0,0.0116932877389158,1.2092280709018666,0.2952258760851913,-3.1032248327593592,-1.9076309947641288,-2.2735165315721777,-1.927924402916448,0.0518634041157366,0.1837605960683003,0.3710354764766878,0.1505893344553232,0.3500207959198787,0.2567541522495218,6.07562517992699e-22,0.0097260142657618,0.646442972828815,0.0294031598997111,0.6037554716648943,1.6029410238367592e-16,1.0173805723132117e-13,0.100445737492743,0.8780822268960227,0.7582200148010712,0.0076370269732571
351,5436.0,0.0086440765183095,1.6402928806980883,0.7503864860543944,0.39864129360070777,6.699055463886769,0.14939983810289048,7.779340044708838,0.0658616469315767,0.9380598615298734,0.8866981562036254,3.915784412733377e-12,0.6083430186999337,0.2285806486566431,0.0047278351899291,0.4366061365395176,0.0001718104880469,0.0615076993707705,3.61856116398954e-08,0.5959445556781756,0.1203533287925226,0.0006102938206079,0.0113266167676967,0.0092241316303851,0.0095894144278322
352,5471.0,0.0111389499922277,1.618884163927118,0.4118253870688063,-3.278086681582126,-0.8438040217533168,-2.4282881709652644,-0.8358347870106259,0.0535860873423209,0.7261897756310443,0.0778846873575839,0.2276294098346833,0.4401174806366406,7.666600571393243e-31,0.5624970544146465,0.7048398636220903,0.570536382909927,0.1971729955721064,2.0418538935524417e-17,1.2957684931960773e-20,0.0884668205447178,0.0646906352423494,0.3190652432677278,0.2949218008564753,0.0077587166089106
353,5473.0,0.0112761741512751,1.7498820133531636,0.22610497,-3.099195641340481,-0.3182961463464104,-2.3119143205118275,-0.8162839065728092,0.05510918759316,1.4528647130276566e-13,0.1902724382943628,0.1793192742155845,7.294597017907083e-12,6.629039874777168e-14,0.3844317528621468,0.5961112721132212,0.5902914914570011,0.1069501689832452,0.3071543341241031,0.2275369071503935,6.276319807838008e-42,0.9314184645976676,0.3999318480757212,0.2996339728277026,0.0076803545403295
354,5517.0,0.0111389805595032,1.618879771389877,0.4118258009446642,-3.278073232567727,-0.8437912132145252,-2.4282783971277655,-0.8358120318706922,0.0535852131199235,0.7261661245796366,0.0778369857168265,0.2276334034433774,0.4401196229731985,5.4909636456661005e-27,0.5625031732326475,0.7048318761466785,0.570534547793664,0.1972008762134696,8.704120619740589e-17,2.5778179112445765e-17,0.0884622869022562,0.0646993943840924,0.3191289071248182,0.2949294816669415,0.0077587166016659
355,5520.0,0.0111390540205513,1.6188736349471051,0.4118269262833593,-3.2780620013018833,-0.8437872333506551,-2.4282700523876164,-0.8357971012307386,0.05358438952166,0.7261279524018486,0.077797890175862,0.2276374099262798,0.4401232648764069,3.0906628243650507e-30,0.5625079054489168,0.7048239405156108,0.570533498608537,0.1972392024476047,5.780518337201683e-18,5.136609268352584e-21,0.0884598079872009,0.0647109135300615,0.3191805949969907,0.2949363397887927,0.0077587166080635
356,5527.0,0.0128148280003821,2.1264949699999995,0.343472988250017,-4.4449404963726975,-1.6091761448805804,-3.2861706267512965,-2.478952417901666,0.0592736992308268,0.1070224204068667,0.3032623564695765,0.01991506180161,0.2895893472156672,5.03669380283668e-24,0.6550602468700667,1.111199945940487e-15,0.5792492694840844,1.1369988556626868e-30,0.3821900295019326,2.6747915640502693e-24,0.915301905392096,2.939776901000355e-28,0.7947262943545808,5.555068801885695e-27,0.0090291850749471
357,5561.0,0.0122238356729329,1.611614677085983,0.3329803461670522,-2.926355741003217,-0.2849419058056041,-2.180541133020389,-0.4557906312740428,0.0359098703196312,0.7395338264097107,0.170519628560921,0.2705254992479636,0.3834619963895679,0.1542197539696598,0.5918142615890881,0.7733728226992721,0.45260915417451,0.3092672885727573,2.5743248942922157e-18,0.0239502135719437,0.1082895315837537,0.4497431411749348,0.3810353940181883,0.3981476833390827,0.0059396080391638
